16,2,0,
32,3,1,
48,10,3,
64,13,4,
80,33,10,
96,38,15,
112,37,14,
128,38,15,
144,54,29,
160,42,20,
176,35,17,
192,53,31,
208,77,40,
224,86,47,
240,63,31,
256,65,36,
